Year,Month,Event_Name,Category
2025,January,New Year's Day,Global Holiday
2025,January,World Economic Forum (Davos),Economic
2025,January,CES Technology Show,Technology
2025,February,Valentine's Day,Cultural
2025,February,World Cancer Day,Health
2025,February,Lunar New Year,Cultural
2025,March,International Women's Day,Social
2025,March,World Water Day,Environment
2025,March,Ramadan Begins,Religious
2025,April,World Health Day,Health
2025,April,Earth Day,Environment
2025,April,Easter,Religious
2025,May,International Labour Day,Social
2025,May,Cannes Film Festival,Cultural
2025,May,Mother's Day,Cultural
2025,June,World Environment Day,Environment
2025,June,Eid al-Adha,Religious
2025,June,International Yoga Day,Health
2025,July,Independence Day (USA),National
2025,July,World Population Day,Social
2025,August,International Youth Day,Social
2025,August,World Humanitarian Day,Social
2025,September,International Literacy Day,Education
2025,September,UN General Assembly,Political
2025,September,World Tourism Day,Tourism
2025,October,World Teachers' Day,Education
2025,October,World Mental Health Day,Health
2025,October,Diwali,Cultural
2025,November,World Climate Conference (COP),Environment
2025,November,World Diabetes Day,Health
2025,November,Thanksgiving,National
2025,December,World AIDS Day,Health
2025,December,Human Rights Day,Social
2025,December,Christmas,Religious
2025,December,New Year's Eve,Global Holiday
